Bezeichnung;ISIN;Kategorie;Stk./Nominale;;Einstandskurs;;Sperre/Lagerst.;Börse;Datum;Zeit;Akt. Kurs;;+/- Vortag;;in %;;Aktueller Wert;;Einstandswert;;Entwicklung abs.;;Entwicklung in %;
APPLE INC.;US0378331005;Aktien;36,000;Stk.;73,208;EUR;Clearstream Nat.;flatex Preis (TRG);23.11.2020;16:22:12;97,800;EUR;-1,180;EUR;-1,192;%;3520,80;EUR;2635,50;EUR;885,30;EUR;33,59;%
BALLARD PWR SYS;CA0585861085;Aktien;100,000;Stk.;8,050;EUR;Clearstream Nat.;flatex Preis (TRG);23.11.2020;16:21:59;16,795;EUR;0,505;EUR;3,100;%;1679,50;EUR;805,00;EUR;874,50;EUR;108,63;%
BED BATH + BEYOND  DL-,01;US0758961009;Aktien;60,000;Stk.;17,116;EUR;Clearstream Nat.;Düsseldorf;23.11.2020;15:46:08;17,192;EUR;-0,004;EUR;-0,023;%;1031,52;EUR;1026,96;EUR;4,56;EUR;0,44;%
CALEDONIA MINING     O.N.;JE00BF0XVB15;Aktien;1155,000;Stk.;8,612;EUR;Clearstream Lux.;Stuttgart;23.11.2020;10:34:32;13,300;EUR;1,050;EUR;8,571;%;15361,50;EUR;9947,12;EUR;5414,38;EUR;54,43;%
COCA-COLA CO.      DL-,25;US1912161007;Aktien;10,000;Stk.;50,740;EUR;Clearstream Nat.;flatex Preis (TRG);23.11.2020;16:22:05;44,665;EUR;0,330;EUR;0,744;%;446,65;EUR;507,40;EUR;-60,75;EUR;-11,97;%
DEERE CO.            DL 1;US2441991054;Aktien;13,000;Stk.;149,740;EUR;Clearstream Nat.;flatex Preis (TRG);23.11.2020;16:19:16;222,050;EUR;4,550;EUR;2,092;%;2886,65;EUR;1946,62;EUR;940,03;EUR;48,29;%
IMPALA PLATINUM O.N.;ZAE000083648;Aktien;100,000;Stk.;9,298;EUR;Clearstream Lux.;flatex Preis (TRG);23.11.2020;16:17:12;8,742;EUR;-0,468;EUR;-5,081;%;874,20;EUR;929,80;EUR;-55,60;EUR;-5,98;%
JDE PEETS BV     EO 1;NL0014332678;Aktien;10,000;Stk.;36,070;EUR;Clearstream Nat.;flatex Preis (TRG);23.11.2020;15:57:39;34,700;EUR;0,600;EUR;1,760;%;347,00;EUR;360,70;EUR;-13,70;EUR;-3,80;%
JOHNSON + JOHNSON    DL 1;US4781601046;Aktien;4,000;Stk.;114,800;EUR;Clearstream Nat.;flatex Preis (TRG);23.11.2020;16:18:52;122,580;EUR;-0,960;EUR;-0,777;%;490,32;EUR;459,20;EUR;31,12;EUR;6,78;%
LITHIUM ENERGI EXPL. O.N.;CA53680T1021;Aktien;851,000;Stk.;0,117;EUR;Clearstream Lux.;Frankfurt;23.11.2020;16:00:13;0,042;EUR;-0,013;EUR;-23,636;%;35,74;EUR;99,99;EUR;-64,25;EUR;-64,25;%
